year,euro,shape_id,type_name_br,veh_type,total,fuel
2006,III,1849,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2011,III,1849,BUS_URBAN_D,Ubus Std 15 - 18 t,4,D
2018,V,1733,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2011,III,1735,BUS_URBAN_D,Ubus Std 15 - 18 t,3,D
2018,V,1735,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2008,III,1735,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2008,III,1898,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2009,III,1911,BUS_URBAN_D,Ubus Std 15 - 18 t,5,D
2002,II,1911,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2004,III,1911,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2007,III,1911,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2007,III,1725,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2008,III,1725,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2009,III,1725,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2018,V,1725,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2005,III,1725,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2018,V,1895,BUS_URBAN_D,Ubus Std 15 - 18 t,4,D
2010,III,1851,BUS_URBAN_D,Ubus Std 15 - 18 t,7,D
2011,III,1851,BUS_URBAN_D,Ubus Std 15 - 18 t,10,D
2007,III,1851,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2010,III,1766,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2018,V,1766,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2011,III,1766,BUS_URBAN_D,Ubus Std 15 - 18 t,6,D
2011,III,1766,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2008,III,1891,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2011,III,1891,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2009,III,1891,BUS_URBAN_D,Ubus Std 15 - 18 t,3,D
2018,V,1826,BUS_MICRO_D,Ubus Midi <=15 t,4,D
2008,III,1826,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2018,V,1828,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2008,III,1828,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2018,V,1829,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2008,III,1829,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2008,III,1832,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2018,V,1832,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2018,V,1834,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2008,III,1834,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2009,III,1886,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2011,III,1886,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2008,III,1886,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2018,V,1886,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2018,V,1893,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2011,III,1893,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2010,III,1893,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2008,III,1893,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2011,III,1910,BUS_MICRO_D,Ubus Midi <=15 t,4,D
2009,III,1915,BUS_URBAN_D,Ubus Std 15 - 18 t,3,D
2000,II,1915,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2006,III,1915,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2018,V,1821,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2011,III,1727,BUS_URBAN_D,Ubus Std 15 - 18 t,4,D
2010,III,1709,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2019,V,1823,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2005,III,1907,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2006,III,1906,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2005,III,1906,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2009,III,1884,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2008,III,1884,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2005,III,1884,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2010,III,1884,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2018,V,1884,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2011,III,1888,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2011,III,1887,BUS_URBAN_D,Ubus Std 15 - 18 t,10,D
2006,III,1850,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2011,III,1850,BUS_URBAN_D,Ubus Std 15 - 18 t,4,D
2011,III,1903,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2008,III,1903,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2009,III,1912,BUS_URBAN_D,Ubus Std 15 - 18 t,5,D
2002,II,1912,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2004,III,1912,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2007,III,1912,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2007,III,1726,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2008,III,1726,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2009,III,1726,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2018,V,1726,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2005,III,1726,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2018,V,1894,BUS_URBAN_D,Ubus Std 15 - 18 t,4,D
2008,III,1837,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2018,V,1837,BUS_MICRO_D,Ubus Midi <=15 t,4,D
2010,III,1852,BUS_URBAN_D,Ubus Std 15 - 18 t,7,D
2011,III,1852,BUS_URBAN_D,Ubus Std 15 - 18 t,10,D
2007,III,1852,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2010,III,1765,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2018,V,1765,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2011,III,1765,BUS_URBAN_D,Ubus Std 15 - 18 t,6,D
2011,III,1765,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2008,III,1890,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2011,III,1890,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2009,III,1890,BUS_URBAN_D,Ubus Std 15 - 18 t,3,D
2018,V,1827,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2008,III,1827,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2018,V,1830,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2008,III,1830,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2008,III,1831,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2018,V,1831,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2018,V,1833,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2008,III,1833,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2018,V,1836,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2008,III,1836,BUS_MICRO_D,Ubus Midi <=15 t,1,D
2009,III,1879,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2018,V,1892,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2011,III,1892,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2010,III,1892,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2008,III,1892,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
2018,V,1822,BUS_MICRO_D,Ubus Midi <=15 t,2,D
2018,V,1881,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2018,V,1902,BUS_MICRO_D,Ubus Midi <=15 t,3,D
2011,III,1889,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2018,V,1897,BUS_URBAN_D,Ubus Std 15 - 18 t,2,D
2008,III,1897,BUS_URBAN_D,Ubus Std 15 - 18 t,1,D
